text,label
"Subject: Security Alert: Unusual Sign-in Activity Detected

ATTENTION: We noticed a login attempt from an unrecognized device. If this wasn't you, secure your account NOW by clicking http://apple-id-locked.support/verify and verifying your login credentials immediately.

Account Services Department",phishing
"Subject: Project Update: Q3 Roadmap

Welcome aboard! We're excited to have you join the team. Your laptop and accounts have been set up, and your manager will walk you through onboarding on your first day.

Thanks,
The Team",safe
"Subject: Lunch this Friday?

This is a friendly reminder that you have a dentist appointment scheduled for next Tuesday at 10 AM. Please call the office if you need to reschedule.

Link: https://mail.google.com/mail/u/0

Cheers,
Mike",safe
"Subject: Final Notice: Payment Failed - Update Billing Info

Congratulations!!! You have been selected as the winner of a $1,000,000 prize. To claim your reward, verify your details at http://amaz0n-delivery-update.com/track within 48 hours or the prize will be forfeited.

Account Services Department
Alternative link: http://amaz0n-delivery-update.com/track",phishing
"Subject: Urgent: Your Account Has Been Suspended

Congratulations!!! You have been selected as the winner of a $1,000,000 prize. To claim your reward, verify your details at http://irs-tax-refund.net/claim within 48 hours or the prize will be forfeited.

Customer Support
This message requires immediate action.
Alternative link: http://tinyurl.com/xyz123reset",phishing
"Subject: Confirm Your Bank Account Details Immediately

Your mailbox has exceeded its storage limit and incoming mail will be rejected. Click http://apple-id-locked.support/verify to upgrade your storage and avoid service interruption today.

Security Team
Do not reply to this automated message.",phishing
"Subject: Action Required: Verify Your Identity Now

Your package delivery failed due to an incomplete address. Click http://tinyurl.com/xyz123reset to reschedule delivery and confirm your payment details, or your package will be returned.

Thank you,
Billing Department",phishing
"Subject: Project Update: Q3 Roadmap

Hello, please find attached invoice #4521 for services rendered in June. Payment is due within 30 days. Let us know if you have any questions about the charges.

Link: https://calendar.google.com/event?id=abc123

Best regards,
HR Department",safe
"Subject: Confirm Your Bank Account Details Immediately

This is an urgent notice from IRS Tax Services. You are eligible for a tax refund. Verify your social security number and bank details at http://apple-id-locked.support/verify to receive your refund immediately.

Thank you,
Billing Department",phishing
"Subject: Reminder: Dentist Appointment Next Week

Welcome aboard! We're excited to have you join the team. Your laptop and accounts have been set up, and your manager will walk you through onboarding on your first day.

Thank you,
Accounting",safe
"Subject: Final Notice: Payment Failed - Update Billing Info

ATTENTION: We noticed a login attempt from an unrecognized device. If this wasn't you, secure your account NOW by clicking http://apple-id-locked.support/verify and verifying your login credentials immediately.

Security Team
Do not reply to this automated message.
Alternative link: http://amaz0n-delivery-update.com/track",phishing
"Subject: Your Mailbox Storage Is Full - Upgrade Now

Your package delivery failed due to an incomplete address. Click http://irs-tax-refund.net/claim to reschedule delivery and confirm your payment details, or your package will be returned.

Customer Support
This message requires immediate action.
Alternative link: http://account-verify-now.info/confirm",phishing
"Subject: Your Password Will Expire Today

ATTENTION: We noticed a login attempt from an unrecognized device. If this wasn't you, secure your account NOW by clicking http://paypal-security-update.com/login and verifying your login credentials immediately.

Security Team
Do not reply to this automated message.
Alternative link: http://apple-id-locked.support/verify",phishing
"Subject: Project Update: Q3 Roadmap

Good news, your order #A29381 has shipped and is expected to arrive in 3-5 business days. You can track the shipment from your account order history page.

Best regards,
HR Department",safe
"Subject: Reminder: Dentist Appointment Next Week

Hello, here is our monthly newsletter with updates on new features, upcoming events, and community highlights. As always, feel free to reply with any feedback or questions.

Link: https://tracking.shipco.com/orders/A29381

Best,
Sarah",safe
"Subject: Confirm Your Bank Account Details Immediately

This is an urgent notice from IRS Tax Services. You are eligible for a tax refund. Verify your social security number and bank details at http://secure-bank0famerica.com/login to receive your refund immediately.

Thank you,
Billing Department",phishing
"Subject: IRS Tax Refund Pending - Verify Now

Congratulations!!! You have been selected as the winner of a $1,000,000 prize. To claim your reward, verify your details at http://paypal-security-update.com/login within 48 hours or the prize will be forfeited.

Thank you,
Billing Department",phishing
"Subject: Your Password Will Expire Today

Your package delivery failed due to an incomplete address. Click http://secure-bank0famerica.com/login to reschedule delivery and confirm your payment details, or your package will be returned.

Account Services Department",phishing
"Subject: Urgent: Your Account Has Been Suspended

Dear valued customer, due to a security breach we require you to reconfirm your account information at http://bit.ly/3xAmpleLink. This is mandatory and must be completed within 12 hours to avoid permanent suspension.

Customer Support
This message requires immediate action.",phishing
